"Reference","Journal_name","Publication_year","Experiment_year","IF","Data_details","Variable_name","Variable_identity","Plant_species","Plant_status","Herbivore_feeding_guild","cor","n","zr","var"
"Gaston et al. 2004","Journal of Animal Ecology",2004,2000,4.7,"Data from Figure 4(c)","Successful emergence of the holly leaf-miner","Herbivore abundance","Ilex aquifolium","Native","Miners",0.620905320096216,26,0.726477061382956,0.0434782608695652
"Genton et al. 2005","Oecologia",2005,2003,2.8,"Data from Figure 3","Chewing","Herbivory","Ambrosia artemisiifolia","Non-native","Defoliators",-0.543183320775367,3,-0.608660241231194,1
"Genton et al. 2005","Oecologia",2005,2003,2.8,"Data from Figure 3","Perforations (n)","Herbivory","Ambrosia artemisiifolia","Non-native","Defoliators",0.743918678978653,3,0.959197460039944,1
"Gossner et al. 2014","Plos One",2014,2009,3.3,"Data from Figure 2","Percentage of total leaves_Phylaphis fagi_canopy","Herbivory","Fagus sylvatica","Native","Sap feeders",-0.8986215468639,3,-1.465011412675,1
"Gossner et al. 2014","Plos One",2014,2009,3.3,"Data from Figure 2","Percentage of total leaves_Phylaphis fagi_understorey","Herbivory","Fagus sylvatica","Native","Sap feeders",0.86548035135184,3,1.31478179249281,1
"Gossner et al. 2014","Plos One",2014,2009,3.3,"Data from Figure 2","Percentage of total leaves_chewing damage_canopy","Herbivory","Fagus sylvatica","Native","Defoliators",-0.882915696430875,3,-1.38884126905845,1
"Gossner et al. 2014","Plos One",2014,2009,3.3,"Data from Figure 2","Percentage of total leaves_chewing damage_understorey","Herbivory","Fagus sylvatica","Native","Defoliators",0.996043696213297,3,3.1118060731645,1
"Gossner et al. 2014","Plos One",2014,2009,3.3,"Data from Figure 2","Percentage of total leaves_gall midges_canopy","Herbivory","Fagus sylvatica","Native","Gallers",0.772909662294168,3,1.02751472555331,1
"Gossner et al. 2014","Plos One",2014,2009,3.3,"Data from Figure 2","Percentage of total leaves_gall midges_understorey","Herbivory","Fagus sylvatica","Native","Gallers",0.109253383816551,3,0.109691217579997,1
"Gossner et al. 2014","Plos One",2014,2009,3.3,"Data from Figure 2","Percentage of total leaves_gall mites_canopy","Herbivory","Fagus sylvatica","Native","Gallers",0.279746682844333,3,0.287407226892342,1
"Gossner et al. 2014","Plos One",2014,2009,3.3,"Data from Figure 2","Percentage of total leaves_gall mites_understorey","Herbivory","Fagus sylvatica","Native","Gallers",-0.0894254442318514,3,-0.0896649703129958,1
"Gossner et al. 2014","Plos One",2014,2009,3.3,"Data from Figure 2","Percentage of total leaves_mines_canopy","Herbivory","Fagus sylvatica","Native","Miners",-0.96550964564959,3,-2.02141357571418,1
"Gossner et al. 2014","Plos One",2014,2009,3.3,"Data from Figure 2","Percentage of total leaves_mines_understorey","Herbivory","Fagus sylvatica","Native","Miners",-0.628411358172459,3,-0.738786375385239,1
"Gossner et al. 2014","Plos One",2014,2009,3.3,"Data from Figure 2","Percentage of total leaves_overall damage_canopy","Herbivory","Fagus sylvatica","Native","All folivores",-0.993015751247736,3,-2.82687339405744,1
"Gossner et al. 2014","Plos One",2014,2009,3.3,"Data from Figure 2","Percentage of total leaves_overall damage_understorey","Herbivory","Fagus sylvatica","Native","All folivores",0.914579292807004,3,1.55483232132523,1
"Gossner et al. 2014","Plos One",2014,2009,3.3,"Data from Figure 2","Percentage of total leaves_scraping damage_canopy","Herbivory","Fagus sylvatica","Native","Defoliators",0.162082630734558,3,0.163524777372758,1
